iter	Passed	Remaining
822	1931	415
823	1933	412
824	1934	410
825	1935	407
826	1936	405
827	1938	402
828	1939	400
829	1940	397
830	1942	394
831	1943	392
832	1945	390
833	1946	387
834	1947	384
835	1949	382
836	1950	379
837	1951	377
838	1953	374
839	1954	372
840	1955	369
841	1956	367
842	1958	364
843	1960	362
844	1962	359
845	1963	357
846	1964	354
847	1965	352
848	1966	349
849	1968	347
850	1969	344
851	1970	342
852	1972	339
853	1973	337
854	1974	334
855	1976	332
856	1978	330
857	1979	327
858	1980	325
859	1981	322
860	1983	320
861	1984	317
862	1985	315
863	1986	312
864	1988	310
865	1989	307
866	1991	305
867	1993	303
868	1994	300
869	1995	298
870	1997	295
871	1998	293
872	1999	290
873	2000	288
874	2002	286
875	2003	283
876	2004	281
877	2007	278
878	2008	276
879	2009	274
880	2011	271
881	2012	269
882	2013	266
883	2014	264
884	2016	262
885	2017	259
886	2018	257
887	2019	254
888	2022	252
889	2023	250
890	2024	247
891	2026	245
892	2028	243
893	2029	240
894	2030	238
895	2031	235
896	2032	233
897	2034	231
898	2035	228
899	2039	226
900	2041	224
901	2045	222
902	2047	219
903	2049	217
904	2050	215
905	2054	213
906	2056	210
907	2057	208
908	2058	206
909	2060	203
910	2062	201
911	2063	199
912	2065	196
913	2066	194
914	2068	192
915	2070	189
916	2072	187
917	2073	185
918	2074	182
919	2075	180
920	2077	178
921	2078	175
922	2079	173
923	2082	171
924	2084	168
925	2085	166
926	2086	164
927	2088	162
928	2089	159
929	2091	157
930	2092	155
931	2093	152
932	2094	150
933	2096	148
934	2097	145
935	2100	143
936	2101	141
937	2102	138
938	2103	136
939	2105	134
940	2106	132
941	2107	129
942	2109	127
943	2110	125
944	2113	122
945	2114	120
946	2116	118
947	2117	116
948	2118	113
949	2120	111
950	2121	109
951	2122	107
952	2128	104
953	2130	102
954	2131	100
955	2132	98
956	2134	95
957	2135	93
958	2136	91
959	2138	89
960	2139	86
961	2140	84
962	2141	82
963	2144	80
964	2145	77
965	2146	75
966	2147	73
967	2149	71
968	2150	68
969	2151	66
970	2153	64
971	2154	62
972	2156	59
973	2157	57
974	2159	55
975	2160	53
976	2162	50
977	2164	48
978	2165	46
979	2166	44
980	2167	41
981	2169	39
982	2170	37
983	2172	35
984	2177	33
985	2178	30
986	2181	28
987	2182	26
988	2183	24
989	2185	22
990	2186	19
991	2187	17
992	2190	15
993	2192	13
994	2193	11
995	2194	8
996	2195	6
997	2196	4
998	2198	2
999	2200	0
